iter	Passed	Remaining
0	201	100423
1	204	51020
2	256	42426
3	307	38105
4	357	35354
5	405	33373
6	456	32138
7	507	31227
8	550	30049
9	599	29352
10	649	28879
11	700	28499
12	752	28206
13	803	27882
14	852	27550
15	901	27261
16	952	27073
17	999	26758
18	1051	26618
19	1093	26252
20	1142	26050
21	1193	25927
22	1243	25784
23	1293	25656
24	1345	25569
25	1394	25418
26	1439	25221
27	1487	25070
28	1536	24961
29	1581	24773
30	1631	24681
31	1678	24544
32	1726	24435
33	1780	24398
34	1829	24301
35	1878	24214
36	1923	24066
37	1973	23993
38	2018	23856
39	2064	23740
40	2114	23668
41	2163	23589
42	2210	23491
43	2257	23398
44	2306	23326
45	2312	22828
46	2359	22739
47	2402	22625
48	2449	22542
49	2496	22471
50	2546	22417
51	2596	22369
52	2647	22329
53	2697	22277
54	2748	22234
55	2810	22287
56	2855	22193
57	2903	22127
58	2947	22031
59	2971	21789
60	3021	21744
61	3072	21703
62	3122	21660
63	3172	21615
64	3225	21588
65	3273	21523
66	3322	21471
67	3369	21408
68	3415	21334
69	3465	21287
70	3514	21232
71	3565	21191
72	3613	21136
73	3657	21055
74	3705	20997
75	3756	20958
76	3809	20929
77	3859	20879
78	3912	20852
79	3962	20804
80	4018	20787
81	4071	20752
82	4128	20741
83	4179	20697
84	4227	20640
85	4274	20575
86	4327	20541
87	4380	20506
88	4429	20456
89	4478	20401
90	4529	20356
91	4576	20295
92	4623	20232
93	4673	20185
94	4719	20120
95	4770	20075
96	4815	20007
97	4866	19963
98	4918	19920
99	4965	19861
100	5016	19818
101	5080	19823
102	5133	19785
103	5178	19717
104	5225	19657
105	5271	19594
106	5319	19537
107	5367	19482
108	5413	19417
109	5459	19357
110	5505	19293
111	5559	19259
112	5603	19190
113	5649	19128
114	5700	19083
115	5750	19037
116	5806	19008
117	5852	18947
118	5899	18887
119	5948	18838
120	5998	18788
121	6047	18737
122	6092	18672
123	6141	18622
124	6192	18576
125	6240	18524
126	6285	18459
127	6332	18404
128	6379	18347
129	6423	18282
130	6470	18225
131	6518	18174
132	6569	18126
133	6580	17974
134	6630	17926
135	6683	17888
136	6737	17851
137	6788	17806
138	6841	17769
139	6887	17710
140	6942	17675
141	6995	17637
142	7042	17581
143	7084	17514
144	7132	17463
145	7179	17408
146	7225	17351
147	7272	17297
148	7317	17237
149	7361	17176
150	7412	17132
151	7461	17082
152	7511	17035
153	7558	16983
154	7605	16928
155	7654	16878
156	7700	16822
157	7747	16770
158	7772	16670
159	7821	16621
160	7865	16560
161	7911	16505
162	7957	16451
163	8002	16396
164	8050	16345
165	8101	16301
166	8148	16247
167	8195	16195
168	8246	16150
169	8292	16096
170	8341	16048
171	8391	16001
172	8441	15955
173	8484	15896
174	8528	15839
175	8577	15790
176	8622	15735
177	8674	15691
178	8729	15653
179	8776	15602
180	8820	15545
181	8868	15495
182	8918	15448
183	8969	15404
184	9019	15356
185	9066	15306
186	9113	15254
187	9164	15209
188	9216	15164
189	9268	15122
190	9314	15068
191	9362	15019
192	9413	14973
193	9465	14929
194	9514	14882
195	9560	14828
196	9608	14777
197	9658	14732
198	9706	14681
199	9750	14625
200	9800	14579
201	9865	14553
202	9927	14524
203	9978	14478
204	10030	14433
205	10081	14387
206	10128	14336
207	10179	14289
208	10235	14251
209	10290	14210
210	10342	14165
211	10393	14119
212	10443	14072
213	10493	14024
214	10543	13976
215	10589	13923
216	10635	13870
217	10686	13824
218	10736	13776
219	10786	13728
220	10789	13620
221	10842	13578
222	10892	13530
223	10940	13480
224	10988	13429
